"student_id","attendance_percentage","average_marks_percentage","assignment_completion_percentage","recent_performance_trend","risk_level"
"STU159","59.6","39","74","Declining","High"
"STU206","79.8","76.2","74.9","Declining","Medium"
"STU107","51.6","64.6","64.9","Improving","Medium"
"STU341","71","63.4","89.5","Stable","Medium"
"STU183","48.8","33.7","21.7","Stable","High"
"STU334","68.6","89.7","97","Improving","Low"
"STU188","89.6","46.7","53.7","Stable","Medium"
"STU106","68.9","92.5","87.9","Improving","Low"
"STU090","65.7","67.8","73.7","Declining","High"
"STU042","59","36.6","63.3","Declining","High"
"STU350","88.7","59.1","46.8","Declining","Medium"
"STU199","78.4","91","86.8","Stable","Low"
"STU288","51.3","34.7","32.8","Stable","High"
"STU077","87.4","42.5","47","Stable","Medium"
"STU004","93.3","86.8","70.5","Stable","Low"
"STU127","71.4","92.1","70.7","Improving","Low"
"STU024","33.1","45.2","48.2","Improving","High"
"STU115","76.2","84.2","89.4","Stable","Low"
"STU285","55.9","67.1","28.2","Declining","High"
"STU329","67.6","63.3","80.7","Improving","Medium"
"STU349","90.7","70.7","66.9","Improving","Low"
"STU168","57","51.1","68.2","Declining","High"
"STU324","65.3","44.9","53.3","Declining","High"
"STU055","99","92","76.8","Improving","Low"
"STU211","83","84","80.8","Improving","Low"
"STU242","78.1","71.8","46.6","Stable","Medium"
"STU246","49.7","36","40","Declining","High"
"STU111","59.2","23.7","30.3","Declining","High"
"STU143","55.6","63.9","59.5","Stable","Medium"
"STU050","53.7","45.9","66.7","Declining","Medium"
"STU124","85.5","88.7","86.4","Stable","Low"
"STU152","53.5","48.9","66.2","Improving","Medium"
"STU146","66.8","67.7","45","Improving","Medium"
"STU083","57.6","69.8","90.6","Stable","Medium"
"STU346","93.4","61.7","65.5","Stable","Low"
"STU108","73.5","23.9","20.8","Stable","High"
"STU126","32.7","59.5","54.8","Stable","High"
"STU056","84.3","46","66.6","Declining","Medium"
"STU069","36","34","68.2","Stable","High"
"STU227","89.8","80.7","65.7","Stable","Medium"
"STU282","51.2","48.9","47","Declining","High"
"STU020","80","70.4","82","Declining","Medium"
